NoteID,Finger,Memo,Lyrics,Left,Right,Lyrics,Robert Burns(1759-1796) in 1788,,,,1,2,3,4,5
172,3,,
173,1,,ld
174,2,,la-
175,1,,
176,2,,ng
177,5,,syne
178,4,,
179,3,,we'll
180,3,,
181,4,,tak'
182,5,,
183,5,,a
184,4,,
185,3,,cup
186,3,,
187,1,,o'
188,2,,kind-
189,1,,
190,2,,ness
191,3,,
192,1,,yet
193,2,,
194,2,,for
195,1,,
196,3,,au-
197,1,,
198,3,,ld
199,3,,
200,3,,la-
201,5,,
202,4,,ng
203,3,,syne
204,4,,
205,5,,We
206,1,,twa
207,1,,
208,3,,hae
209,4,,
210,5,,run
211,5,,
212,4,,a-
213,3,,
214,3,,bout
215,1,,
216,2,,the
217,1,,
218,2,,breas
219,3,,
220,1,,and
221,2,,
222,2,,pou'd
223,1,,the
224,3,,go-
225,5,,
226,4,,wans
227,3,,
228,3,,fine
229,1,,
230,2,,But We've
231,1,,
232,2,,wan-
233,5,,
234,4,,der'd
235,3,,
236,3,,mony
237,4,,
238,5,,a
239,5,,wea-
240,4,,
241,3,,ry
242,3,,
243,1,,fit
244,2,,
245,1,,sin'
246,2,,
247,3,,au-
248,1,,
249,2,,ld
250,2,,
251,1,,la-
252,3,,
253,1,,ng
254,3,,
255,3,,syne
256,3,,
257,5,,For
258,4,,
259,3,,au-
260,4,,
261,5,,ld
262,1,,la-
263,1,,
264,3,,ng
265,4,,syne
266,5,,
267,5,,my
268,4,,
269,3,,jo
270,3,,
271,1,,for
272,2,,
273,1,,au-
274,2,,
275,3,,ld
276,1,,la-
277,2,,
278,2,,ng
279,1,,syne
280,3,,
281,5,,we'll
282,4,,
283,3,,tak'
284,3,,
285,1,,a
286,2,,
287,1,,cup
288,2,,
289,5,,o'
290,4,,kind
291,3,,
292,3,,ness
293,4,,
294,5,,yet
295,5,,
296,4,,for
297,3,,
298,3,,au-
299,1,,
300,2,,ld
301,1,,
302,2,,la-
303,3,,
304,1,,ng
305,2,,syne
306,2,,
307,1,,We
308,3,,twa
309,1,,
310,3,,hae
311,3,,
312,3,,pai-
313,5,,
314,4,,dl'd
315,3,,
316,4,,in
317,5,,
318,1,,the
319,1,,
320,2,,burn
321,4,,
322,5,,frea
323,5,,
324,4,,mor-
325,3,,ning
326,3,,sun
327,1,,
328,2,,till
329,1,,
330,2,,dine
331,3,,
332,1,,But
333,2,,
334,2,,seas
335,1,,
336,3,,be
337,5,,
338,4,,tween
339,3,,
340,3,,us
341,1,,braid
342,2,,
343,1,,hae
344,2,,
345,5,,roar'd
346,4,,
347,3,,sin'
348,3,,
349,4,,au-
350,5,,
351,5,,ld
352,4,,
353,3,,la-
354,3,,
355,1,,ng
356,2,,
357,1,,syne
358,2,,
359,3,,For
360,1,,
361,2,,au-
362,2,,
363,1,,ld
364,3,,la-
365,,,
366,,,ng
367,,,syne
368,,,
369,,,my
370,,,
371,,,jo
372,,,
373,,,for
374,,,
375,,,au-
376,,,
377,,,ld
378,,,la-
379,,,
380,,,ng
381,,,syne
382,,,
383,,,we'll
384,,,
385,,,tak'
386,,,
387,,,a
388,,,
389,,,cup
390,,,
391,,,o'
392,,,kind
393,,,
394,,,ness
395,,,
396,,,yet
397,,,
398,,,for
399,,,
400,,,au-
401,,,
402,,,ld
403,,,
404,,,la-
405,,,
406,,,ng
407,,,syne
408,,,
409,,,And
410,,,there's
411,,,
412,,,a
413,,,
414,,,hand
415,,,
416,,,my
417,,,
418,,,trus-
419,,,
420,,,ty
421,,,
422,,,fere!
423,,,
424,,,and
425,,,
426,,,gie's
427,,,a
428,,,hand
429,,,
430,,,o'
431,,,
432,,,thine!
433,,,
434,,,And We'll
435,,,
436,,,tak'
437,,,
438,,,a
439,,,
440,,,right
441,,,
442,,,gude-
443,,,will-
444,,,
445,,,ie-
446,,,
447,,,waught
448,,,
449,,,for
450,,,
451,,,au-
452,,,
453,,,ld
454,,,
455,,,la-
456,,,
457,,,ng
458,,,
459,,,syne
460,,,
461,,,For
462,,,
463,,,au-
464,,,
465,,,ld
466,,,la-
467,,,
468,,,ng
469,,,syne
470,,,
471,,,my
472,,,
473,,,jo
474,,,
475,,,for
476,,,
477,,,au-
478,,,
479,,,ld
480,,,la-
481,,,
482,,,ng
483,,,syne
484,,,
485,,,we'll
486,,,
487,,,tak'
488,,,
489,,,a
490,,,
491,,,cup
492,,,
493,,,o'
494,,,kind
495,,,
496,,,ness
497,,,
498,,,yet
499,,,
500,,,for
501,,,
502,,,au-
503,,,
504,,,ld
505,,,
506,,,la-
507,,,
508,,,ng
509,,,syne
